instant,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt
57,1.0,0.0,2,0.0,6.0,0.0,1,0.2825,0.282192,0.537917,0.1243789999999999,1969
82,2.0,0.0,3,0.0,3.0,1.0,2,0.346957,0.337939,0.839565,0.1243789999999999,2121
129,2.0,0.0,5,0.0,1.0,1.0,1,0.5325,0.525246,0.58875,0.1243789999999999,4362
130,2.0,0.0,5,0.0,2.0,1.0,1,0.5325,0.522721,0.833333,0.115671,4803
214,3.0,0.0,8,0.0,2.0,1.0,1,0.783333,0.707071,,0.20585,4845
299,4.0,0.0,10,0.0,3.0,1.0,2,0.484167,0.472846,0.720417,0.1243789999999999,3894
389,1.0,1.0,1,0.0,2.0,1.0,1,0.3425,0.349108,0.5577084999999999,0.123767,4339
529,2.0,1.0,6,0.0,2.0,1.0,2,0.6533329999999999,0.597875,0.833333,0.1243789999999999,4972
702,4.0,1.0,12,0.0,0.0,0.0,2,,,0.823333,0.1243789999999999,4649
731,1.0,1.0,12,0.0,1.0,0.0,2,0.215833,0.223487,0.5775,0.154846,2729
